"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"136","Sitva-6","136","San Lucas - Las Palmas","Directa Centro","3","","","",""
"105","Sitva-32","105","El Faro","Directa Centro","3","","","",""
"106","Sitva-32","106","Tres Esquinas","Directa Centro","3","","","",""
"103","Sitva-22","103","Sierra","Directa Centro","3","","","",""
"103","Sitva-22","103","Sierra Minorista","Directa Centro","3","","","",""
"103","Sitva-22","103","Mirlas","Directa Centro","3","","","",""
"103","Sitva-22","103","Mirlas Minorista","Directa Centro","3","","","",""
"C23_Alterna","Sitva-20","C23_Alterna","San Cristóbal-La Asomadera-Centro","Directa Centro","3","","","",""
"C23","Sitva-20","C23","San Cristóbal-San Javier-La Loma-Centro","Directa Centro","3","","","",""
"318B","Sitva-10","318B","San Antonio de Prado","Directa Centro","3","","","",""
"69","Sitva-29","69","El Jardín","Directa Centro","3","","","",""
"88","Sitva-31","88","Pinar Torres","Directa Centro","3","","","",""
"93","Sitva-21","93","Caicedo La Toma","Directa Centro","3","","","",""
"031 P-SD","Sitva-28","031 P-SD","Popular Centro San Diego","Directa Centro","3","","","",""
"97","Sitva-11","97","Cauces-Quintalinda","Directa Centro","3","","","",""
"97","Sitva-11","97","Cauces-Quintalinda","Directa Centro","3","","","",""
"24","Sitva-25","24","Playón de los Comuneros","Directa Centro","3","","","",""
"37 - 39","Sitva-27","37 - 39","Villanueva","Directa Centro","3","","","",""
"096 Horario Esp","Sitva-11","096 Horario Esp","Buenos Aires","Directa Centro","3","","","",""
"51-52 CV-SD","Sitva-28","51-52 CV-SD","Campo Valdés San Diego","Directa Centro","3","","","",""
"97","Sitva-11","97","Quintalinda-El Vergel","Directa No Centro","3","","","",""
"102","Sitva-12","102","Ávila-Iglesia Cataluña","Directa Centro","3","","","",""
"102D","Sitva-12","102D","Ávila-Iglesia Cataluña","Directa Centro","3","","","",""
"99","Sitva-26","99","Cerros de Quintalinda","Directa Centro","3","","","",""
"95","Sitva-21","95","Perlas","Directa Centro","3","","","",""
"242","Sitva-7","242","La Divisa","Directa Centro","3","","","",""
"242","Sitva-7","242","La Quiebra","Directa Centro","3","","","",""
"95","Sitva-21","95","Villatina  ","Directa Centro","3","","","",""
"085 L H MINO","Sitva-19","085 L H MINO","La Honda Minorista","Directa Centro","3","","","",""
